event_type,qc_level,intensity,city,region_country,datetime_utc,reporter,description,query_year,query_month,queried_event
Funnel,QC0,EF2,Tel Aviv,"Tel Aviv District, Israel",18/02/2024 18:12 UTC,ESWD Management,Event observed via satellite imagery.,2024,02,Funnel
Precip,QC0+,EF1,Nagpur,"Maharashtra, India",11/01/2019 03:32 UTC,University Research Group,Strong winds caused structural damage.,2019,01,Precip
Hail,QC2,EF2,Genova,"Liguria, Italy",24/11/2006 00:48 UTC,Meteorological Office,Weak event reported with minor impacts.,2006,11,Hail
Funnel,QC1,EF1,Genova,"Liguria, Italy",08/06/2002 06:04 UTC,ESWD Management,"Short-lived event, limited damage reported.",2002,06,Funnel
Devil,QC2,EF2,Munich,"Bavaria, Germany",14/04/2018 13:14 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2018,04,Devil
Snow,QC0,EF1,Rota,"Andalucía, Spain",21/06/2017 22:58 UTC,ESWD Management,Strong winds caused structural damage.,2017,06,Snow
Tornado,QC0,F-Scale: IF2,Genova,"Liguria, Italy",15/01/2002 23:55 UTC,Public Report,Weak event reported with minor impacts.,2002,01,Tornado
Ice,QC2,EF0,Munich,"Bavaria, Germany",18/11/2003 09:36 UTC,Storm Chaser Network,Strong winds caused structural damage.,2003,11,Ice
Avalanche,QC0+,F-Scale: IF1,Paris,"Île-de-France, France",05/01/2007 18:12 UTC,University Research Group,Severe weather phenomenon confirmed by eyewitnesses.,2007,01,Avalanche
Lightning,QC1,F-Scale: IF0,Munich,"Bavaria, Germany",18/06/2006 10:10 UTC,Public Report,"Short-lived event, limited damage reported.",2006,06,Lightning
Gustnado,QC2,EF1,Genova,"Liguria, Italy",15/11/2001 00:10 UTC,Public Report,Weak event reported with minor impacts.,2001,11,Gustnado
Ice,QC2,EF2,Nagpur,"Maharashtra, India",04/06/2015 07:13 UTC,Public Report,Event observed via satellite imagery.,2015,06,Ice
Gustnado,QC1,F-Scale: IF1,Tel Aviv,"Tel Aviv District, Israel",26/11/2009 21:03 UTC,ESWD Management,Event observed via satellite imagery.,2009,11,Gustnado
Precip,QC2,EF2,Rome,"Lazio, Italy",10/06/2002 18:44 UTC,Public Report,Weak event reported with minor impacts.,2002,06,Precip
Ice,QC0+,EF2,Genova,"Liguria, Italy",31/03/2011 03:21 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2011,03,Ice
Snow,QC0+,F-Scale: IF0,Vienna,Austria,01/10/2005 22:54 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2005,10,Snow
Funnel,QC2,F-Scale: IF2,Nagpur,"Maharashtra, India",03/04/2014 16:35 UTC,Public Report,Strong winds caused structural damage.,2014,04,Funnel
Ice,QC1,N/A,Rome,"Lazio, Italy",01/11/2006 19:18 UTC,Meteorological Office,Severe weather phenomenon confirmed by eyewitnesses.,2006,11,Ice
Gustnado,QC0+,EF2,Rota,"Andalucía, Spain",18/01/2014 08:24 UTC,University Research Group,Strong winds caused structural damage.,2014,01,Gustnado
Hail,QC1,EF0,Munich,"Bavaria, Germany",15/02/2016 04:35 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2016,02,Hail
Snow,QC0,F-Scale: IF1,Munich,"Bavaria, Germany",04/11/2021 18:49 UTC,University Research Group,"Short-lived event, limited damage reported.",2021,11,Snow
Funnel,QC0+,F-Scale: IF2,Munich,"Bavaria, Germany",12/04/2006 18:23 UTC,University Research Group,Strong winds caused structural damage.,2006,04,Funnel
Funnel,QC0,N/A,Genova,"Liguria, Italy",01/11/2000 17:18 UTC,Public Report,"Short-lived event, limited damage reported.",2000,11,Funnel
Hail,QC1,EF1,Rome,"Lazio, Italy",17/07/2009 01:15 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2009,07,Hail
Precip,QC0+,N/A,Tel Aviv,"Tel Aviv District, Israel",29/05/2016 13:23 UTC,Public Report,Strong winds caused structural damage.,2016,05,Precip
Ice,QC0,EF0,Tel Aviv,"Tel Aviv District, Israel",04/11/2020 17:06 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2020,11,Ice
Avalanche,QC0+,EF0,Nagpur,"Maharashtra, India",10/06/2007 17:32 UTC,Local Weather Service,Event observed via satellite imagery.,2007,06,Avalanche
Tornado,QC1,F-Scale: IF0,Rome,"Lazio, Italy",23/07/2006 16:30 UTC,Local Weather Service,Severe weather phenomenon confirmed by eyewitnesses.,2006,07,Tornado
Devil,QC0+,F-Scale: IF0,Genova,"Liguria, Italy",10/11/2011 12:36 UTC,University Research Group,Event observed via satellite imagery.,2011,11,Devil
Lightning,QC2,F-Scale: IF0,Vienna,Austria,29/05/2017 16:01 UTC,ESWD Management,Strong winds caused structural damage.,2017,05,Lightning
Snow,QC1,N/A,Genova,"Liguria, Italy",22/05/2023 21:37 UTC,University Research Group,Damage to vegetation and light structures.,2023,05,Snow
Tornado,QC2,EF2,Madrid,Spain,29/07/2025 05:56 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2025,07,Tornado
Tornado,QC2,F-Scale: IF1,Genova,"Liguria, Italy",06/03/2023 08:35 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2023,03,Tornado
Snow,QC0,EF1,Vienna,Austria,02/11/2021 16:27 UTC,Local Weather Service,Severe weather phenomenon confirmed by eyewitnesses.,2021,11,Snow
Gustnado,QC1,F-Scale: IF1,Nagpur,"Maharashtra, India",17/06/2003 17:33 UTC,Local Weather Service,Event observed via satellite imagery.,2003,06,Gustnado
Gustnado,QC0+,EF0,Vienna,Austria,22/04/2005 22:33 UTC,Meteorological Office,Strong winds caused structural damage.,2005,04,Gustnado
Funnel,QC0+,EF1,Paris,"Île-de-France, France",23/06/2021 16:21 UTC,Local Weather Service,Strong winds caused structural damage.,2021,06,Funnel
Hail,QC0+,EF1,Rota,"Andalucía, Spain",06/12/2010 01:28 UTC,Public Report,Event observed via satellite imagery.,2010,12,Hail
Gustnado,QC0+,F-Scale: IF0,Madrid,Spain,04/10/2001 19:32 UTC,Local Weather Service,Damage to vegetation and light structures.,2001,10,Gustnado
Gustnado,QC0,EF2,Madrid,Spain,09/03/2018 20:27 UTC,University Research Group,Strong winds caused structural damage.,2018,03,Gustnado
Ice,QC2,N/A,Genova,"Liguria, Italy",18/09/2009 15:19 UTC,Storm Chaser Network,Event observed via satellite imagery.,2009,09,Ice
Devil,QC0+,EF1,Zurich,Switzerland,27/05/2006 19:53 UTC,University Research Group,"Short-lived event, limited damage reported.",2006,05,Devil
Ice,QC0,F-Scale: IF1,Tel Aviv,"Tel Aviv District, Israel",16/05/2015 15:28 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2015,05,Ice
Gustnado,QC2,N/A,Genova,"Liguria, Italy",28/09/2000 06:54 UTC,Local Weather Service,"Short-lived event, limited damage reported.",2000,09,Gustnado
Funnel,QC0,N/A,Tel Aviv,"Tel Aviv District, Israel",06/05/2021 20:59 UTC,Public Report,"Short-lived event, limited damage reported.",2021,05,Funnel
Funnel,QC0+,EF1,Genova,"Liguria, Italy",19/08/2021 22:30 UTC,Public Report,Weak event reported with minor impacts.,2021,08,Funnel
Precip,QC1,N/A,Zurich,Switzerland,02/06/2023 14:21 UTC,ESWD Management,Strong winds caused structural damage.,2023,06,Precip
Lightning,QC2,F-Scale: IF2,Zurich,Switzerland,17/04/2010 16:27 UTC,Public Report,Strong winds caused structural damage.,2010,04,Lightning
Tornado,QC1,EF0,Genova,"Liguria, Italy",01/02/2019 04:34 UTC,Local Weather Service,Weak event reported with minor impacts.,2019,02,Tornado
Ice,QC1,F-Scale: IF1,Rome,"Lazio, Italy",22/05/2024 13:56 UTC,ESWD Management,Strong winds caused structural damage.,2024,05,Ice
Avalanche,QC0,EF0,Rome,"Lazio, Italy",10/06/2023 04:01 UTC,University Research Group,Event observed via satellite imagery.,2023,06,Avalanche
Snow,QC0+,EF0,Zurich,Switzerland,01/04/2016 03:38 UTC,University Research Group,"Short-lived event, limited damage reported.",2016,04,Snow
Ice,QC1,EF1,Munich,"Bavaria, Germany",18/01/2024 14:27 UTC,Meteorological Office,Strong winds caused structural damage.,2024,01,Ice
Hail,QC2,F-Scale: IF1,Nagpur,"Maharashtra, India",15/07/2018 18:50 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2018,07,Hail
Lightning,QC1,N/A,Paris,"Île-de-France, France",20/05/2011 10:28 UTC,University Research Group,Severe weather phenomenon confirmed by eyewitnesses.,2011,05,Lightning
Gustnado,QC0+,F-Scale: IF0,Genova,"Liguria, Italy",22/04/2010 15:14 UTC,Local Weather Service,"Short-lived event, limited damage reported.",2010,04,Gustnado
Hail,QC0,F-Scale: IF1,Vienna,Austria,11/09/2024 20:57 UTC,Storm Chaser Network,Strong winds caused structural damage.,2024,09,Hail
Avalanche,QC2,F-Scale: IF0,Genova,"Liguria, Italy",09/07/2006 16:05 UTC,ESWD Management,Damage to vegetation and light structures.,2006,07,Avalanche
Devil,QC0,EF2,Vienna,Austria,04/08/2003 20:47 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2003,08,Devil
Tornado,QC0,N/A,Madrid,Spain,06/11/2012 20:23 UTC,Local Weather Service,Strong winds caused structural damage.,2012,11,Tornado
Wind,QC1,F-Scale: IF1,Paris,"Île-de-France, France",24/06/2000 06:53 UTC,ESWD Management,"Short-lived event, limited damage reported.",2000,06,Wind
Lightning,QC0+,EF2,Madrid,Spain,23/05/2010 20:59 UTC,ESWD Management,Damage to vegetation and light structures.,2010,05,Lightning
Devil,QC1,N/A,Rota,"Andalucía, Spain",23/01/2007 02:57 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2007,01,Devil
Precip,QC0+,EF1,Zurich,Switzerland,09/03/2018 20:00 UTC,ESWD Management,Strong winds caused structural damage.,2018,03,Precip
Funnel,QC1,F-Scale: IF2,Genova,"Liguria, Italy",26/08/2024 09:42 UTC,Meteorological Office,Event observed via satellite imagery.,2024,08,Funnel
Tornado,QC0,F-Scale: IF2,Nagpur,"Maharashtra, India",25/05/2020 13:47 UTC,Local Weather Service,Severe weather phenomenon confirmed by eyewitnesses.,2020,05,Tornado
Lightning,QC1,F-Scale: IF2,Genova,"Liguria, Italy",21/01/2025 02:28 UTC,ESWD Management,"Short-lived event, limited damage reported.",2025,01,Lightning
Ice,QC2,EF0,Madrid,Spain,15/10/2025 08:32 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2025,10,Ice
Devil,QC2,EF1,Vienna,Austria,31/07/2020 23:15 UTC,ESWD Management,Severe weather phenomenon confirmed by eyewitnesses.,2020,07,Devil
Funnel,QC0+,EF2,Munich,"Bavaria, Germany",11/01/2003 13:03 UTC,University Research Group,Event observed via satellite imagery.,2003,01,Funnel
Snow,QC0,EF2,Zurich,Switzerland,03/11/2015 17:37 UTC,Meteorological Office,Event observed via satellite imagery.,2015,11,Snow
Ice,QC1,F-Scale: IF0,Genova,"Liguria, Italy",23/11/2017 22:59 UTC,Public Report,Event observed via satellite imagery.,2017,11,Ice
Wind,QC1,F-Scale: IF1,Vienna,Austria,10/11/2015 07:27 UTC,University Research Group,Strong winds caused structural damage.,2015,11,Wind
Devil,QC0+,N/A,Paris,"Île-de-France, France",15/12/2008 08:00 UTC,Meteorological Office,Event observed via satellite imagery.,2008,12,Devil
Devil,QC1,F-Scale: IF1,Nagpur,"Maharashtra, India",15/03/2011 21:06 UTC,ESWD Management,Weak event reported with minor impacts.,2011,03,Devil
Funnel,QC0,N/A,Paris,"Île-de-France, France",18/04/2000 18:28 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2000,04,Funnel
Tornado,QC1,EF0,Vienna,Austria,31/01/2022 19:36 UTC,Local Weather Service,"Short-lived event, limited damage reported.",2022,01,Tornado
Ice,QC0+,F-Scale: IF0,Zurich,Switzerland,17/12/2009 19:41 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2009,12,Ice
Wind,QC1,EF0,Madrid,Spain,17/06/2001 17:09 UTC,University Research Group,Event observed via satellite imagery.,2001,06,Wind
Wind,QC1,EF2,Genova,"Liguria, Italy",31/03/2023 15:42 UTC,ESWD Management,Weak event reported with minor impacts.,2023,03,Wind
Precip,QC0,F-Scale: IF2,Nagpur,"Maharashtra, India",07/01/2017 19:49 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2017,01,Precip
Ice,QC0+,F-Scale: IF2,Tel Aviv,"Tel Aviv District, Israel",09/08/2024 08:58 UTC,Storm Chaser Network,"Short-lived event, limited damage reported.",2024,08,Ice
Snow,QC2,F-Scale: IF1,Vienna,Austria,01/04/2008 17:01 UTC,Storm Chaser Network,Strong winds caused structural damage.,2008,04,Snow
Snow,QC2,F-Scale: IF1,Vienna,Austria,20/12/2017 09:32 UTC,Public Report,Event observed via satellite imagery.,2017,12,Snow
Tornado,QC0+,EF1,Nagpur,"Maharashtra, India",24/06/2004 09:12 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2004,06,Tornado
Devil,QC0,F-Scale: IF1,Tel Aviv,"Tel Aviv District, Israel",16/09/2006 16:08 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2006,09,Devil
Gustnado,QC2,F-Scale: IF2,Madrid,Spain,14/12/2023 10:46 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2023,12,Gustnado
Tornado,QC0+,F-Scale: IF0,Rota,"Andalucía, Spain",14/11/2017 03:22 UTC,Local Weather Service,Damage to vegetation and light structures.,2017,11,Tornado
Wind,QC1,F-Scale: IF2,Genova,"Liguria, Italy",06/03/2020 11:25 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2020,03,Wind
Lightning,QC2,F-Scale: IF0,Munich,"Bavaria, Germany",09/06/2015 00:40 UTC,Meteorological Office,Strong winds caused structural damage.,2015,06,Lightning
Tornado,QC0+,N/A,Nagpur,"Maharashtra, India",16/11/2025 19:39 UTC,Meteorological Office,Damage to vegetation and light structures.,2025,11,Tornado
Snow,QC0,EF0,Madrid,Spain,13/11/2021 15:15 UTC,Public Report,Damage to vegetation and light structures.,2021,11,Snow
Wind,QC1,EF0,Tel Aviv,"Tel Aviv District, Israel",08/07/2007 21:51 UTC,University Research Group,"Short-lived event, limited damage reported.",2007,07,Wind
Tornado,QC0+,F-Scale: IF2,Zurich,Switzerland,14/03/2003 02:42 UTC,Local Weather Service,Damage to vegetation and light structures.,2003,03,Tornado
Snow,QC2,F-Scale: IF2,Munich,"Bavaria, Germany",31/12/2011 20:39 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2011,12,Snow
Tornado,QC0+,F-Scale: IF1,Madrid,Spain,13/03/2020 14:07 UTC,ESWD Management,Event observed via satellite imagery.,2020,03,Tornado
Devil,QC0+,EF0,Munich,"Bavaria, Germany",04/08/2003 07:11 UTC,ESWD Management,Weak event reported with minor impacts.,2003,08,Devil
Funnel,QC0,N/A,Paris,"Île-de-France, France",07/08/2024 01:50 UTC,Storm Chaser Network,"Short-lived event, limited damage reported.",2024,08,Funnel
Funnel,QC0+,F-Scale: IF0,Genova,"Liguria, Italy",10/10/2011 21:05 UTC,University Research Group,Severe weather phenomenon confirmed by eyewitnesses.,2011,10,Funnel
Ice,QC2,EF2,Nagpur,"Maharashtra, India",05/02/2011 09:41 UTC,Local Weather Service,Event observed via satellite imagery.,2011,02,Ice
Lightning,QC1,N/A,Tel Aviv,"Tel Aviv District, Israel",13/04/2001 01:11 UTC,Meteorological Office,Severe weather phenomenon confirmed by eyewitnesses.,2001,04,Lightning
Wind,QC2,F-Scale: IF1,Madrid,Spain,21/03/2012 18:43 UTC,University Research Group,"Short-lived event, limited damage reported.",2012,03,Wind
Gustnado,QC2,EF1,Rome,"Lazio, Italy",24/06/2020 21:32 UTC,University Research Group,Strong winds caused structural damage.,2020,06,Gustnado
Lightning,QC0+,N/A,Munich,"Bavaria, Germany",29/07/2015 16:26 UTC,ESWD Management,Severe weather phenomenon confirmed by eyewitnesses.,2015,07,Lightning
Ice,QC0+,F-Scale: IF2,Vienna,Austria,28/06/2018 08:52 UTC,ESWD Management,Weak event reported with minor impacts.,2018,06,Ice
Lightning,QC2,EF1,Tel Aviv,"Tel Aviv District, Israel",05/06/2015 09:47 UTC,ESWD Management,Strong winds caused structural damage.,2015,06,Lightning
Wind,QC2,N/A,Paris,"Île-de-France, France",09/06/2013 00:18 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2013,06,Wind
Devil,QC0+,EF0,Rota,"Andalucía, Spain",03/08/2024 12:45 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2024,08,Devil
Hail,QC2,N/A,Nagpur,"Maharashtra, India",29/04/2007 22:02 UTC,Storm Chaser Network,Event observed via satellite imagery.,2007,04,Hail
Ice,QC0+,EF1,Genova,"Liguria, Italy",09/12/2018 21:20 UTC,Public Report,Strong winds caused structural damage.,2018,12,Ice
Precip,QC1,EF0,Munich,"Bavaria, Germany",08/10/2012 22:08 UTC,Local Weather Service,Weak event reported with minor impacts.,2012,10,Precip
Gustnado,QC2,EF1,Tel Aviv,"Tel Aviv District, Israel",27/12/2012 03:46 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2012,12,Gustnado
Tornado,QC0,F-Scale: IF1,Paris,"Île-de-France, France",03/06/2008 10:56 UTC,ESWD Management,"Short-lived event, limited damage reported.",2008,06,Tornado
Avalanche,QC1,F-Scale: IF1,Tel Aviv,"Tel Aviv District, Israel",02/08/2004 09:37 UTC,University Research Group,Severe weather phenomenon confirmed by eyewitnesses.,2004,08,Avalanche
Avalanche,QC0,EF0,Nagpur,"Maharashtra, India",17/01/2004 05:08 UTC,Local Weather Service,Damage to vegetation and light structures.,2004,01,Avalanche
Hail,QC2,EF2,Munich,"Bavaria, Germany",10/05/2022 12:40 UTC,ESWD Management,Damage to vegetation and light structures.,2022,05,Hail
Funnel,QC2,F-Scale: IF0,Tel Aviv,"Tel Aviv District, Israel",07/07/2002 09:05 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2002,07,Funnel
Gustnado,QC0,F-Scale: IF0,Nagpur,"Maharashtra, India",21/03/2011 13:01 UTC,University Research Group,Event observed via satellite imagery.,2011,03,Gustnado
Hail,QC0+,EF0,Paris,"Île-de-France, France",01/02/2011 01:08 UTC,University Research Group,Weak event reported with minor impacts.,2011,02,Hail
Lightning,QC1,F-Scale: IF2,Nagpur,"Maharashtra, India",17/03/2021 13:16 UTC,Local Weather Service,Strong winds caused structural damage.,2021,03,Lightning
Avalanche,QC1,EF0,Madrid,Spain,14/05/2023 04:10 UTC,University Research Group,Damage to vegetation and light structures.,2023,05,Avalanche
Devil,QC0+,F-Scale: IF0,Vienna,Austria,03/05/2002 22:45 UTC,Local Weather Service,Strong winds caused structural damage.,2002,05,Devil
Hail,QC1,EF1,Vienna,Austria,03/09/2000 05:42 UTC,ESWD Management,Severe weather phenomenon confirmed by eyewitnesses.,2000,09,Hail
Devil,QC2,EF2,Rota,"Andalucía, Spain",19/11/2001 19:50 UTC,Public Report,Event observed via satellite imagery.,2001,11,Devil
Snow,QC2,F-Scale: IF0,Genova,"Liguria, Italy",27/02/2011 05:22 UTC,University Research Group,"Short-lived event, limited damage reported.",2011,02,Snow
Snow,QC0+,EF2,Rota,"Andalucía, Spain",06/09/2002 12:08 UTC,Public Report,Weak event reported with minor impacts.,2002,09,Snow
Gustnado,QC1,N/A,Paris,"Île-de-France, France",09/06/2010 10:48 UTC,Storm Chaser Network,Strong winds caused structural damage.,2010,06,Gustnado
Devil,QC0+,F-Scale: IF2,Rota,"Andalucía, Spain",11/12/2016 12:13 UTC,ESWD Management,Severe weather phenomenon confirmed by eyewitnesses.,2016,12,Devil
Wind,QC2,F-Scale: IF1,Madrid,Spain,21/03/2013 18:31 UTC,Public Report,Event observed via satellite imagery.,2013,03,Wind
Lightning,QC1,N/A,Vienna,Austria,09/07/2014 15:59 UTC,Public Report,"Short-lived event, limited damage reported.",2014,07,Lightning
Gustnado,QC2,F-Scale: IF2,Genova,"Liguria, Italy",29/10/2023 05:17 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2023,10,Gustnado
Snow,QC2,EF2,Paris,"Île-de-France, France",12/01/2000 21:46 UTC,Local Weather Service,Weak event reported with minor impacts.,2000,01,Snow
Tornado,QC0,EF2,Vienna,Austria,17/09/2010 10:56 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2010,09,Tornado
Devil,QC0+,EF1,Madrid,Spain,26/04/2022 18:49 UTC,Meteorological Office,Damage to vegetation and light structures.,2022,04,Devil
Hail,QC0,F-Scale: IF0,Vienna,Austria,14/12/2004 03:17 UTC,Local Weather Service,Event observed via satellite imagery.,2004,12,Hail
Avalanche,QC0+,F-Scale: IF0,Nagpur,"Maharashtra, India",19/10/2004 16:34 UTC,ESWD Management,"Short-lived event, limited damage reported.",2004,10,Avalanche
Precip,QC1,F-Scale: IF0,Zurich,Switzerland,22/12/2021 17:56 UTC,Meteorological Office,Event observed via satellite imagery.,2021,12,Precip
Tornado,QC2,N/A,Genova,"Liguria, Italy",02/08/2000 07:07 UTC,ESWD Management,Severe weather phenomenon confirmed by eyewitnesses.,2000,08,Tornado
Precip,QC2,N/A,Rota,"Andalucía, Spain",10/03/2016 19:02 UTC,Meteorological Office,Strong winds caused structural damage.,2016,03,Precip
Avalanche,QC0,EF2,Rome,"Lazio, Italy",04/12/2011 18:03 UTC,ESWD Management,Damage to vegetation and light structures.,2011,12,Avalanche
Funnel,QC0,EF2,Nagpur,"Maharashtra, India",21/04/2023 03:18 UTC,Local Weather Service,"Short-lived event, limited damage reported.",2023,04,Funnel
Hail,QC0+,EF1,Nagpur,"Maharashtra, India",30/08/2008 17:57 UTC,University Research Group,Event observed via satellite imagery.,2008,08,Hail
Lightning,QC1,EF2,Madrid,Spain,16/08/2018 03:36 UTC,Storm Chaser Network,Strong winds caused structural damage.,2018,08,Lightning
Precip,QC0+,EF1,Zurich,Switzerland,01/09/2004 05:41 UTC,Storm Chaser Network,"Short-lived event, limited damage reported.",2004,09,Precip
Snow,QC2,F-Scale: IF2,Tel Aviv,"Tel Aviv District, Israel",13/12/2023 20:28 UTC,Meteorological Office,"Short-lived event, limited damage reported.",2023,12,Snow
Snow,QC2,N/A,Vienna,Austria,30/06/2018 21:36 UTC,University Research Group,Damage to vegetation and light structures.,2018,06,Snow
Tornado,QC0+,EF0,Nagpur,"Maharashtra, India",05/04/2025 18:37 UTC,Public Report,Strong winds caused structural damage.,2025,04,Tornado
Ice,QC2,F-Scale: IF0,Vienna,Austria,17/04/2020 15:16 UTC,University Research Group,Weak event reported with minor impacts.,2020,04,Ice
Ice,QC0+,F-Scale: IF2,Rome,"Lazio, Italy",24/09/2000 17:40 UTC,ESWD Management,Damage to vegetation and light structures.,2000,09,Ice
Devil,QC1,EF1,Nagpur,"Maharashtra, India",15/02/2014 00:44 UTC,Public Report,"Short-lived event, limited damage reported.",2014,02,Devil
Tornado,QC0,EF0,Rome,"Lazio, Italy",09/12/2006 03:13 UTC,Meteorological Office,Event observed via satellite imagery.,2006,12,Tornado
Gustnado,QC0+,F-Scale: IF1,Munich,"Bavaria, Germany",19/06/2016 19:52 UTC,Meteorological Office,Damage to vegetation and light structures.,2016,06,Gustnado
Funnel,QC0+,EF2,Rome,"Lazio, Italy",07/12/2017 19:25 UTC,ESWD Management,Strong winds caused structural damage.,2017,12,Funnel
Snow,QC0,EF1,Paris,"Île-de-France, France",03/10/2007 16:39 UTC,University Research Group,Damage to vegetation and light structures.,2007,10,Snow
Avalanche,QC0,N/A,Rome,"Lazio, Italy",11/02/2017 02:40 UTC,Meteorological Office,Damage to vegetation and light structures.,2017,02,Avalanche
Hail,QC0,EF2,Zurich,Switzerland,28/05/2005 07:44 UTC,University Research Group,Severe weather phenomenon confirmed by eyewitnesses.,2005,05,Hail
Avalanche,QC1,EF1,Munich,"Bavaria, Germany",10/07/2023 01:24 UTC,Public Report,Event observed via satellite imagery.,2023,07,Avalanche
Snow,QC0,EF2,Madrid,Spain,26/11/2009 05:13 UTC,University Research Group,Severe weather phenomenon confirmed by eyewitnesses.,2009,11,Snow
Wind,QC0,F-Scale: IF1,Rome,"Lazio, Italy",20/10/2025 17:13 UTC,Storm Chaser Network,Damage to vegetation and light structures.,2025,10,Wind
Hail,QC0,EF0,Tel Aviv,"Tel Aviv District, Israel",05/12/2005 11:28 UTC,Public Report,Strong winds caused structural damage.,2005,12,Hail
Avalanche,QC0,EF0,Madrid,Spain,27/11/2017 08:57 UTC,Public Report,Severe weather phenomenon confirmed by eyewitnesses.,2017,11,Avalanche
Gustnado,QC0+,EF0,Tel Aviv,"Tel Aviv District, Israel",28/07/2021 19:05 UTC,Storm Chaser Network,Strong winds caused structural damage.,2021,07,Gustnado
Tornado,QC0+,F-Scale: IF1,Nagpur,"Maharashtra, India",04/03/2025 21:01 UTC,ESWD Management,Damage to vegetation and light structures.,2025,03,Tornado
Hail,QC0,EF2,Vienna,Austria,02/11/2025 03:03 UTC,Storm Chaser Network,Severe weather phenomenon confirmed by eyewitnesses.,2025,11,Hail
Snow,QC1,EF1,Vienna,Austria,17/07/2008 10:56 UTC,University Research Group,Weak event reported with minor impacts.,2008,07,Snow
Ice,QC2,EF1,Tel Aviv,"Tel Aviv District, Israel",08/09/2015 21:02 UTC,Local Weather Service,Severe weather phenomenon confirmed by eyewitnesses.,2015,09,Ice
Avalanche,QC1,F-Scale: IF1,Nagpur,"Maharashtra, India",15/12/2008 23:23 UTC,University Research Group,Weak event reported with minor impacts.,2008,12,Avalanche
Funnel,QC0+,N/A,Rota,"Andalucía, Spain",26/11/2010 21:11 UTC,Meteorological Office,Weak event reported with minor impacts.,2010,11,Funnel
Snow,QC2,F-Scale: IF0,Genova,"Liguria, Italy",08/09/2013 15:21 UTC,Meteorological Office,Event observed via satellite imagery.,2013,09,Snow
Lightning,QC1,EF1,Nagpur,"Maharashtra, India",21/02/2009 18:39 UTC,Storm Chaser Network,"Short-lived event, limited damage reported.",2009,02,Lightning
Gustnado,QC0,F-Scale: IF2,Rota,"Andalucía, Spain",22/11/2016 19:53 UTC,Local Weather Service,Weak event reported with minor impacts.,2016,11,Gustnado
Ice,QC2,EF2,Nagpur,"Maharashtra, India",02/03/2012 01:48 UTC,ESWD Management,Weak event reported with minor impacts.,2012,03,Ice
Hail,QC0,F-Scale: IF2,Munich,"Bavaria, Germany",27/02/2016 03:40 UTC,University Research Group,Severe weather phenomenon confirmed by eyewitnesses.,2016,02,Hail
Devil,QC1,EF0,Zurich,Switzerland,23/10/2022 03:23 UTC,Public Report,"Short-lived event, limited damage reported.",2022,10,Devil
Funnel,QC2,EF1,Tel Aviv,"Tel Aviv District, Israel",02/12/2008 17:05 UTC,University Research Group,Weak event reported with minor impacts.,2008,12,Funnel
Avalanche,QC1,EF0,Nagpur,"Maharashtra, India",30/09/2023 10:24 UTC,Storm Chaser Network,Strong winds caused structural damage.,2023,09,Avalanche
Gustnado,QC1,F-Scale: IF2,Rota,"Andalucía, Spain",22/07/2015 23:21 UTC,University Research Group,Damage to vegetation and light structures.,2015,07,Gustnado
Devil,QC1,EF0,Madrid,Spain,16/05/2012 02:06 UTC,ESWD Management,"Short-lived event, limited damage reported.",2012,05,Devil
Ice,QC2,EF2,Nagpur,"Maharashtra, India",21/10/2006 11:39 UTC,Local Weather Service,Weak event reported with minor impacts.,2006,10,Ice
Hail,QC0+,EF1,Madrid,Spain,15/03/2010 14:14 UTC,Local Weather Service,Severe weather phenomenon confirmed by eyewitnesses.,2010,03,Hail
Ice,QC0+,F-Scale: IF1,Rome,"Lazio, Italy",09/10/2014 15:19 UTC,University Research Group,Event observed via satellite imagery.,2014,10,Ice
